Dual Name,Time Window (t),Vessel (v),Dual Value
tech_type_2_time_window_1_availability,1,3,0.0
job_1_once,1,3,0.0
job_2_once,1,3,9842.598132161174
job_3_once,1,3,0.0
job_4_once,1,3,0.0
job_5_once,1,3,0.0
one_route_per_vessel_Vessel_3_tw_2,2,3,0.0
tech_type_1_time_window_2_availability,2,3,0.0
tech_type_2_time_window_2_availability,2,3,0.0
job_1_once,2,3,0.0
job_2_once,2,3,9842.598132161174
job_3_once,2,3,0.0
job_4_once,2,3,0.0
job_5_once,2,3,0.0
one_route_per_vessel_Vessel_1_tw_1,1,1,0.0
tech_type_1_time_window_1_availability,1,1,0.0
tech_type_2_time_window_1_availability,1,1,0.0
job_1_once,1,1,2759.677497240539
job_2_once,1,1,2747.513650793651
job_3_once,1,1,3435.9496497798264
job_4_once,1,1,899.4573343471593
job_5_once,1,1,1716.923174603172
one_route_per_vessel_Vessel_1_tw_2,2,1,0.0
tech_type_1_time_window_2_availability,2,1,0.0
tech_type_2_time_window_2_availability,2,1,0.0
job_1_once,2,1,2759.677497240539
job_2_once,2,1,2747.513650793651
job_3_once,2,1,3435.9496497798264
job_4_once,2,1,899.4573343471593
